Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,37.7,111,57.75,15.85,49.23,56.26,1.46,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,37.58,112,60.38,16.43,47.28,44.6,6.19,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0373,Chitkara University,Rajpura,Punjab,37.5,113,53.58,13.38,52.56,58.11,11.02,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0613,National Institute of Technology Manipur,Imphal,Manipur,37.45,114,61.1,14.77,42.18,58.89,3.56,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-43264,National Institute of Foundry and Forge Technology (NIFFT),Ranchi,Jharkhand,37.35,115,67.07,4.72,53.71,45.16,5.55,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0367,Veer Surendra Sai University of Technology,Burla,Odisha,37.34,116,53.46,22.16,46.3,47.1,6.83,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,37.3,117,56.48,14.79,52.46,50.11,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0169,Manav Rachna International Institute of Research & Studies,Faridabad,Haryana,37.26,118,57.82,6.21,58.38,52.21,11.59,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Management,Nagpur,Maharashtra,37.22,119,59.71,7.98,57.72,50.85,2.87,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0382,Punjab Technical University,Kapurthala,Punjab,37.15,120,63.62,32.28,16.04,46.24,5.55,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,37.09,121,55.8,19.82,39.47,65.05,0,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-I-1015,Vishwakarma Institute of Technology,Pune,Maharashtra,36.82,122,56.71,5.43,63.65,48.32,6.19,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
